question id	NRC PBMT	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)
S17c	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S18a	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S18b	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S18c	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S19a	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S19b	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S19c	No,Not applicable,Yes	No,Not applicable,Yes	No,Not applicable,Yes	Yes,Yes,Yes
S19d	No,Not applicable,No	No,Not applicable,No	No,No,No	Yes,Yes,Yes
S19e	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S19f	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S20a	No,Yes,No	No,No,No	No,Not applicable,Not applicable	No,Yes,No
S20b	No,No,No	No,No,Not applicable	No,No,No	No,Yes,Yes
S20c	No,No,No	No,No,No	No,Yes,Not applicable	No,No,No
S21a	No,No,Yes	No,No,Yes	No,No,Yes	No,No,Yes
S21b	No,No,Yes	No,No,Yes	No,No,Yes	No,No,Yes
S21c	No,No,No	No,No,No	No,No,No	No,No,No
S22a	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S22b	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	No,No,No
S22c	Yes,Yes,Yes	Yes,Yes,Yes	No,No,No	Yes,No,No
S23a	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Not applicable,Yes	Yes,Yes,Yes
S23b	No,No,Yes	No,No,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S23c	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,No,No
S23d	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S23e	No,No,No	No,No,Yes	Yes,No,No	No,No,No
S24a	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S24b	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S24c	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S25a	Yes,Yes,Yes	No,No,No	No,No,No	Yes,Yes,Yes
S25b	No,No,Yes	No,No,No	No,No,Yes	Yes,Yes,Yes
S25c	No,No,No	No,No,No	No,No,No	No,No,No
S25d	Yes,Yes,Yes	Yes,Yes,Yes	No,No,No	Yes,Yes,Yes
S25e	No,No,No	Yes,Yes,Yes	No,No,Yes	Yes,Yes,Yes
S25f	Yes,No,Yes	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S26a	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S26b	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S26c	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
